Frequency,Amplitude,Phase
2.022179e-03,1.405178e+02,1.811549e+00
2.054795e-03,1.473314e+02,1.303028e+00
2.087410e-03,9.445291e+01,1.916001e+00
2.120026e-03,3.948500e+01,-2.844436e+00
2.152642e-03,1.526124e+02,1.739688e+00
2.185258e-03,1.928930e+02,1.134862e+00
2.217873e-03,1.892481e+02,2.029785e+00
2.250489e-03,2.517469e+02,1.631691e+00
2.283105e-03,6.704039e+01,2.427797e+00
2.315721e-03,3.926283e+01,2.181731e-02
2.348337e-03,1.202249e+02,2.263655e+00
2.380952e-03,5.797861e+01,1.485279e+00
2.413568e-03,1.934445e+02,8.485322e-01
2.446184e-03,2.149503e+02,1.264628e+00
2.478800e-03,2.415323e+02,1.625538e+00
2.511416e-03,2.767068e+02,2.013929e+00
2.544031e-03,1.710028e+02,2.032734e+00
2.576647e-03,6.631209e+01,7.515519e-01
2.609263e-03,2.303637e+01,-1.473198e+00
2.641879e-03,1.473726e+02,2.832247e+00
2.674494e-03,1.654105e+02,-1.539140e+00
2.707110e-03,1.457599e+02,1.267856e+00
2.739726e-03,3.036218e+04,2.885794e+00
2.772342e-03,5.614064e+02,1.375553e+00
2.804958e-03,1.922826e+02,2.054206e+00
2.837573e-03,1.962395e+02,1.513450e+00
2.870189e-03,2.766025e+02,8.858134e-01
2.902805e-03,1.044966e+02,1.346567e+00
2.935421e-03,2.707558e+02,2.098271e+00
2.968037e-03,3.017445e+02,2.597942e+00
3.000652e-03,5.757293e+01,6.235517e-01
3.033268e-03,3.861650e+01,1.987561e+00
3.065884e-03,2.241169e+02,2.599010e+00
3.098500e-03,3.267308e+01,1.694297e+00
3.131115e-03,6.984986e+01,1.678366e+00
3.163731e-03,1.561696e+02,2.661033e+00
3.196347e-03,1.822859e+02,2.375875e+00
3.228963e-03,2.043426e+02,2.399037e+00
3.261579e-03,1.828339e+02,2.045119e+00
3.294194e-03,1.503494e+02,1.626721e+00
3.326810e-03,9.175303e+01,1.393849e+00
3.359426e-03,1.352028e+02,1.021872e+00
3.392042e-03,6.956229e+01,-7.102395e-01
3.424658e-03,2.151022e+02,1.773847e+00
3.457273e-03,1.498594e+02,2.429322e-01
3.489889e-03,1.324356e+02,-1.169666e-01
3.522505e-03,4.524853e+01,1.670352e+00
3.555121e-03,1.564352e+02,7.832186e-01
3.587736e-03,7.946984e+01,2.088703e+00
3.620352e-03,1.033879e+02,2.400398e+00
3.652968e-03,2.176209e+02,1.969010e+00
3.685584e-03,1.336827e+02,2.821459e+00
3.718200e-03,1.018531e+02,8.617449e-01
3.750815e-03,1.527755e+02,2.986675e+00
3.783431e-03,3.447147e+02,1.874990e+00
3.816047e-03,1.847555e+02,1.272072e+00
3.848663e-03,1.752938e+02,2.334255e+00
3.881279e-03,9.005117e+01,1.373821e+00
3.913894e-03,9.749723e+01,2.196982e+00
3.946510e-03,3.065491e+01,-2.534764e+00
3.979126e-03,9.651737e+01,9.559298e-01
4.011742e-03,1.355671e+02,1.821332e+00
4.044357e-03,7.984859e+01,1.033094e+00
4.076973e-03,1.019100e+02,2.160507e+00
4.109589e-03,1.700295e+02,1.899672e+00
4.142205e-03,1.425359e+02,-9.014894e-01
4.174821e-03,1.283039e+02,1.856575e+00
4.207436e-03,1.087506e+02,3.688548e-01
4.240052e-03,1.428970e+02,2.380999e+00
4.272668e-03,3.270092e+01,2.566350e+00
4.305284e-03,1.177538e+02,2.329306e+00
4.337900e-03,9.330049e+01,2.490143e+00
4.370515e-03,1.605658e+02,1.029087e+00
4.403131e-03,6.127013e+01,1.060103e+00
4.435747e-03,1.591121e+02,2.105378e+00
4.468363e-03,9.724805e+01,2.419141e+00
4.500978e-03,1.917022e+02,1.790740e+00
4.533594e-03,1.226433e+02,1.284447e+00
4.566210e-03,2.259169e+02,7.938444e-01
4.598826e-03,6.050829e+01,-2.906704e+00
4.631442e-03,1.798117e+02,2.005843e+00
4.664057e-03,1.594923e+02,2.551270e+00
4.696673e-03,5.829147e+01,2.822378e+00
4.729289e-03,1.858415e+02,1.277207e+00
4.761905e-03,1.777517e+02,1.766135e+00
4.794521e-03,5.225444e+01,-4.719442e-02
4.827136e-03,7.362616e+01,8.979621e-01
4.859752e-03,2.588885e+01,2.906691e+00
4.892368e-03,8.968372e+01,1.751167e+00
4.924984e-03,5.267026e+01,1.857221e+00
4.957599e-03,7.449101e+01,6.279802e-01
4.990215e-03,1.894343e+02,2.145689e+00
5.022831e-03,7.970775e+01,1.401063e+00
5.055447e-03,9.236671e+01,2.421483e+00
5.088063e-03,1.005652e+02,-2.952451e+00
5.120678e-03,8.885627e+01,1.285854e+00
5.153294e-03,6.194392e+01,3.062304e-01
5.185910e-03,9.043410e+01,1.517595e+00
5.218526e-03,1.934939e+02,1.164781e+00
5.251142e-03,9.109740e+01,7.022473e-01
5.283757e-03,1.402632e+02,1.197933e+00
5.316373e-03,1.984474e+02,8.718424e-01
5.348989e-03,1.323297e+02,-1.195416e+00
5.381605e-03,7.201521e+01,-2.721477e+00
5.414220e-03,1.053921e+02,1.259577e+00
5.446836e-03,3.161944e+02,2.371322e+00
5.479452e-03,8.509851e+02,-2.465375e+00
5.512068e-03,1.135579e+02,-2.669777e+00
5.544684e-03,1.132865e+02,-2.820544e+00
5.577299e-03,8.614667e+01,-2.920516e-01
5.609915e-03,5.321886e+01,-3.532432e-02
5.642531e-03,7.097214e+01,-2.858232e+00
5.675147e-03,1.640127e+02,1.798998e+00
5.707763e-03,3.945262e+01,-3.129557e-01
5.740378e-03,4.290872e+01,2.649353e+00
5.772994e-03,9.820288e+01,1.450225e+00
5.805610e-03,6.457368e+01,-1.037441e+00
5.838226e-03,4.879159e+01,-4.001798e-01
5.870841e-03,7.551531e+01,-2.249655e+00
5.903457e-03,5.091444e+01,-2.844354e-01
5.936073e-03,6.871252e+01,-8.721165e-01
5.968689e-03,8.038979e+01,3.082205e+00
6.001305e-03,1.086807e+02,4.746283e-01
6.033920e-03,1.243479e+02,2.387178e+00
6.066536e-03,1.025510e+02,-1.177234e+00
6.099152e-03,8.333409e+01,1.765307e+00
6.131768e-03,6.354988e+01,5.197690e-01
6.164384e-03,5.526336e+01,3.091582e+00
6.196999e-03,6.109669e+01,2.854480e+00
6.229615e-03,3.607226e+01,1.870556e+00
6.262231e-03,9.253190e+01,1.080941e+00
6.294847e-03,1.569057e+02,4.898852e-01
6.327462e-03,8.386228e+01,-2.650171e+00
6.360078e-03,5.285112e+01,3.022105e+00
6.392694e-03,9.776888e+01,1.298233e+00
6.425310e-03,5.134624e+01,2.793740e+00
6.457926e-03,1.061101e+02,1.297715e+00
6.490541e-03,1.698735e+02,2.105334e+00
6.523157e-03,1.031766e+02,2.445517e+00
6.555773e-03,4.405847e+01,2.354987e+00
6.588389e-03,5.420628e+01,9.659045e-01
6.621005e-03,8.118602e+01,1.633117e+00
6.653620e-03,9.824283e+01,2.552109e+00
6.686236e-03,3.874542e+01,2.657927e+00
6.718852e-03,7.728537e+01,2.755557e+00
6.751468e-03,7.061599e+01,-2.636312e+00
6.784083e-03,1.662160e+02,7.987559e-01
6.816699e-03,1.337032e+02,-1.370595e-01
6.849315e-03,1.425697e+02,2.018535e+00
6.881931e-03,8.888677e+01,2.709409e+00
6.914547e-03,9.483896e+01,9.793123e-01
6.947162e-03,8.447120e+01,1.857703e+00
6.979778e-03,4.001059e+01,2.978405e+00
7.012394e-03,1.572239e+01,9.285074e-01
7.045010e-03,3.258627e+01,2.605543e+00
7.077626e-03,1.251494e+02,1.852729e+00
7.110241e-03,1.950253e+02,1.039869e+00
7.142857e-03,6.994155e+01,1.613427e+00
7.175473e-03,1.171072e+02,2.013690e+00
7.208089e-03,5.870872e+01,2.183593e+00
7.240705e-03,6.952663e+01,2.132207e+00
7.273320e-03,9.345713e+01,-5.268115e-01
7.305936e-03,1.146231e+02,-3.771646e-02
7.338552e-03,7.631809e+01,3.100662e+00
7.371168e-03,6.869539e+01,2.104761e+00
7.403783e-03,1.116336e+02,1.537309e+00
7.436399e-03,1.056875e+02,1.898068e+00
7.469015e-03,4.440404e+01,2.712713e-01
7.501631e-03,8.825892e+01,1.032873e+00
7.534247e-03,5.927510e+01,4.357669e-01
7.566862e-03,4.316053e+01,-2.202000e+00
7.599478e-03,7.179418e+01,2.003042e+00
7.632094e-03,9.727863e+01,2.234285e+00
7.664710e-03,8.505334e+01,1.153485e+00
7.697326e-03,9.388192e+01,1.236461e+00
7.729941e-03,1.238376e+02,1.229821e+00
7.762557e-03,4.929710e+01,1.696747e+00
7.795173e-03,3.206495e+01,1.633177e+00
7.827789e-03,5.973267e+01,1.945096e+00
7.860404e-03,5.496932e+01,1.844024e+00
7.893020e-03,9.303160e+01,2.208783e+00
7.925636e-03,4.453919e+01,2.851829e+00
7.958252e-03,1.085354e+02,4.023525e-01
7.990868e-03,7.508630e+01,1.164625e+00
8.023483e-03,1.522474e+02,1.265276e+00
8.056099e-03,5.793750e+01,1.392306e-01
8.088715e-03,3.438965e+01,3.490733e-01
8.121331e-03,1.535656e+02,2.524664e+00
8.153947e-03,1.854538e+02,5.533650e-01
8.186562e-03,5.803370e+01,-2.588924e+00
8.219178e-03,5.312607e+02,-5.996599e-01
8.251794e-03,1.464857e+02,-2.715764e+00
8.284410e-03,4.984858e+01,2.790839e+00
8.317025e-03,1.113700e+02,2.639040e+00
8.349641e-03,3.377979e+01,3.085626e+00
8.382257e-03,7.280454e+01,1.931123e+00
8.414873e-03,8.657533e+01,-2.781183e+00
8.447489e-03,1.477667e+01,8.140464e-01
8.480104e-03,9.334250e+01,-2.338306e+00
8.512720e-03,5.910599e+01,1.481100e+00
8.545336e-03,7.609119e+01,2.387313e+00
8.577952e-03,9.191627e+01,1.151556e+00
8.610568e-03,1.169224e+02,1.791414e+00
8.643183e-03,4.856790e+01,2.182968e+00
8.675799e-03,7.822377e+01,-2.196016e-01
8.708415e-03,1.240664e+02,1.451344e+00
8.741031e-03,2.186556e+01,-1.119422e+00
8.773646e-03,1.194573e+01,-1.462473e+00
8.806262e-03,1.005399e+02,2.245723e+00
8.838878e-03,7.293283e+01,-3.830572e-01
8.871494e-03,5.879028e+01,7.316426e-01
8.904110e-03,9.495059e+01,6.861841e-02
8.936725e-03,1.139437e+02,2.174271e+00
8.969341e-03,1.048512e+02,-2.276887e+00
9.001957e-03,3.190761e+01,-5.242621e-01
9.034573e-03,1.281809e+02,3.516583e-01
9.067189e-03,3.490055e+01,1.050345e+00
9.099804e-03,1.183890e+02,9.331867e-01
9.132420e-03,5.657687e+01,-5.999253e-01
9.165036e-03,3.374390e+01,-2.646174e-01
9.197652e-03,8.268138e+01,3.093236e-01
9.230267e-03,1.148413e+02,1.542710e+00
9.262883e-03,1.135031e+02,-5.015788e-01
9.295499e-03,4.311518e+01,-1.334785e+00
9.328115e-03,7.512208e+01,2.216688e+00
9.360731e-03,2.048009e+01,2.779644e+00
9.393346e-03,1.103177e+02,1.496454e+00
9.425962e-03,9.603314e+01,6.822814e-01
9.458578e-03,1.130409e+02,-2.405249e+00
9.491194e-03,7.958312e+01,-1.698099e+00
9.523810e-03,1.254279e+02,-4.568827e-01
9.556425e-03,4.907809e+01,-2.899773e+00
9.589041e-03,1.667143e+02,1.311283e+00
9.621657e-03,3.300968e+01,-3.103039e+00
9.654273e-03,4.042130e+01,-2.693613e+00
9.686888e-03,9.750946e+01,4.186244e-01
9.719504e-03,1.959565e+01,4.634890e-01
9.752120e-03,9.866651e+01,2.850209e+00
9.784736e-03,1.022350e+02,2.605454e+00
9.817352e-03,8.030240e+01,-1.171587e-01
9.849967e-03,1.196175e+02,9.923979e-01
9.882583e-03,2.333947e+01,1.850515e+00
9.915199e-03,3.801519e+01,9.095853e-01
9.947815e-03,4.381976e+01,1.115770e+00
9.980431e-03,5.189281e+01,-1.968888e+00
1.001305e-02,5.729074e+01,-1.842726e+00
1.004566e-02,4.614884e+01,1.344114e+00
1.007828e-02,6.853959e+01,-2.835222e+00
1.011089e-02,8.514339e+01,2.255457e+00
1.014351e-02,9.368089e+01,2.158236e+00
1.017613e-02,5.619921e+01,1.691251e+00
1.020874e-02,1.678410e+01,-4.821975e-01
1.024136e-02,4.970566e+01,6.194003e-01
1.027397e-02,3.296115e+01,-2.153825e+00
1.030659e-02,7.061165e+01,-1.049745e+00
1.033920e-02,1.087076e+02,8.504049e-01
1.037182e-02,5.549178e+01,-2.995814e+00
1.040444e-02,4.040278e+01,6.547755e-01
1.043705e-02,8.177035e+01,2.002872e+00
1.046967e-02,1.016070e+02,3.049920e-01
1.050228e-02,4.693744e+01,2.911261e-01
1.053490e-02,6.921565e+01,5.581969e-01
1.056751e-02,3.731830e+01,-1.040667e+00
1.060013e-02,5.804189e+01,-1.598474e+00
1.063275e-02,3.029190e+01,2.265103e+00
1.066536e-02,1.466570e+01,-2.972152e+00
1.069798e-02,3.515327e+01,5.265204e-01
1.073059e-02,1.228485e+02,2.700956e+00
1.076321e-02,3.925265e+01,3.064228e+00
1.079583e-02,1.357209e+02,-6.688906e-02
1.082844e-02,7.614674e+01,2.311107e+00
1.086106e-02,1.233922e+02,1.445177e+00
1.089367e-02,1.620768e+01,-6.353705e-01
1.092629e-02,3.707243e+01,-1.212458e+00
1.095890e-02,1.449259e+02,6.299049e-01
1.099152e-02,1.073900e+01,-2.334855e+00
1.102414e-02,1.231609e+02,1.215964e+00
1.105675e-02,4.223963e+01,1.480798e+00
1.108937e-02,9.073038e+01,-2.922867e+00
1.112198e-02,5.023330e+01,1.170139e+00
1.115460e-02,6.476787e+01,1.745764e+00
1.118721e-02,5.835354e+01,1.978045e+00
1.121983e-02,1.364114e+02,1.173677e+00
1.125245e-02,9.876980e+01,1.057075e+00
1.128506e-02,8.911917e+01,1.986034e+00
1.131768e-02,1.010636e+02,-2.277537e+00
1.135029e-02,2.166244e+01,7.059035e-01
1.138291e-02,1.019602e+02,2.997384e+00
1.141553e-02,1.067778e+01,3.112877e+00
1.144814e-02,1.314926e+02,1.716532e+00
1.148076e-02,7.231291e+01,7.823981e-01
1.151337e-02,4.434435e+01,3.835467e-01
1.154599e-02,6.716426e+01,1.907701e+00
1.157860e-02,7.622814e+01,1.326499e+00
1.161122e-02,8.424672e+00,1.018470e+00
1.164384e-02,9.502627e+01,1.211641e+00
1.167645e-02,8.645163e+01,2.434136e+00
1.170907e-02,1.045472e+02,2.061021e+00
1.174168e-02,4.649730e+01,2.833377e+00
1.177430e-02,3.826342e+01,1.443502e+00
1.180691e-02,1.072195e+02,2.099142e-01
1.183953e-02,8.346611e+01,3.064163e+00
1.187215e-02,1.095286e+01,-2.030666e+00
1.190476e-02,1.185700e+02,2.385490e+00
1.193738e-02,5.850229e+01,6.819515e-01
1.196999e-02,1.200636e+02,1.607747e+00
1.200261e-02,7.760638e+01,7.990353e-01
1.203523e-02,7.307181e+01,-1.123969e+00
1.206784e-02,6.284434e+01,6.824711e-01
1.210046e-02,9.627976e+01,-1.456332e-01
1.213307e-02,3.762768e+01,2.902084e+00
1.216569e-02,8.604596e+01,7.485158e-01
1.219830e-02,9.687064e+01,2.710742e+00
1.223092e-02,6.251353e+01,-6.202006e-01
1.226354e-02,5.248337e+01,1.281885e+00
1.229615e-02,1.072180e+02,-8.622935e-01
1.232877e-02,1.231433e+02,1.142182e+00
1.236138e-02,5.366385e+01,2.793800e+00
1.239400e-02,1.004888e+02,-2.693301e+00
1.242661e-02,7.722883e+01,-1.433029e+00
1.245923e-02,3.942222e+01,-1.072687e+00
1.249185e-02,5.412125e+01,1.116426e+00
1.252446e-02,4.137768e+01,-2.780250e+00
1.255708e-02,1.166192e+02,-1.578305e+00
1.258969e-02,1.037536e+02,2.871342e+00
1.262231e-02,5.449367e+01,1.116322e+00
1.265492e-02,9.519876e+01,2.462967e+00
1.268754e-02,1.983612e+01,-1.887449e+00
1.272016e-02,3.206771e+01,2.151051e+00
1.275277e-02,3.262094e+01,-2.279037e+00
1.278539e-02,7.325025e+01,-2.380989e+00
1.281800e-02,8.981970e+01,2.946053e+00
1.285062e-02,1.798111e+02,2.898075e+00
1.288324e-02,1.832346e+02,2.102457e+00
1.291585e-02,7.103930e+01,1.454300e+00
1.294847e-02,7.269995e+00,-1.688033e-01
1.298108e-02,1.161413e+01,1.475971e+00
1.301370e-02,4.657860e+01,1.723967e+00
1.304631e-02,2.176152e+01,-1.975951e+00
1.307893e-02,8.142581e+01,1.434728e+00
1.311155e-02,1.009620e+02,1.820973e+00
1.314416e-02,8.971319e+01,-6.781470e-01
1.317678e-02,3.909902e+01,-3.052880e+00
1.320939e-02,6.889392e+01,5.113345e-02
1.324201e-02,8.785198e+01,2.940825e+00
1.327462e-02,7.978404e+01,1.057147e+00
1.330724e-02,6.682553e+01,1.262532e+00
1.333986e-02,5.662886e+01,-1.718426e+00
1.337247e-02,1.298646e+02,1.874813e+00
1.340509e-02,1.389971e+02,2.918563e+00
1.343770e-02,5.164174e+01,1.586094e+00
1.347032e-02,1.771179e+02,2.056240e+00
1.350294e-02,1.037354e+02,1.168332e+00
1.353555e-02,5.906924e+01,-1.148193e-01
1.356817e-02,8.010181e+01,1.234757e+00
1.360078e-02,1.230107e+02,1.066079e+00
1.363340e-02,1.131609e+02,3.393499e-01
1.366601e-02,1.203216e+02,1.436924e-01
1.369863e-02,1.824549e+02,-2.016826e-01
1.373125e-02,9.170207e+01,-5.515047e-01
1.376386e-02,9.459459e+01,2.001059e+00
1.379648e-02,9.315323e+01,2.231365e+00
1.382909e-02,6.001575e+01,1.293038e+00
1.386171e-02,8.500125e+01,2.577860e+00
1.389432e-02,6.737838e+01,2.382919e+00
1.392694e-02,1.217470e+01,-2.061276e+00
1.395956e-02,3.103610e+01,9.264582e-01
1.399217e-02,1.630881e+02,1.241296e-01
1.402479e-02,7.752383e+01,4.257080e-01
1.405740e-02,4.811557e+01,-1.495091e+00
1.409002e-02,1.144856e+02,1.025598e+00
1.412264e-02,1.558830e+01,-1.720732e+00
1.415525e-02,4.063961e+01,2.622354e+00
1.418787e-02,3.833463e+01,1.085834e+00
1.422048e-02,2.662461e+01,1.386810e+00
1.425310e-02,6.471189e+01,1.910640e+00
1.428571e-02,7.134728e+01,-3.115446e+00
1.431833e-02,4.712947e+01,2.594834e+00
1.435095e-02,1.388738e+02,1.718784e+00
1.438356e-02,7.326163e+01,2.462701e+00
1.441618e-02,6.688651e+01,2.268708e+00
1.444879e-02,2.130731e+02,2.650249e+00
1.448141e-02,1.362316e+02,2.496752e+00
1.451402e-02,1.333639e+02,2.885103e+00
1.454664e-02,7.332747e+01,5.406807e-01
1.457926e-02,5.258958e+01,2.408315e-01
1.461187e-02,9.822803e+01,1.337191e+00
1.464449e-02,8.194757e+01,2.232921e+00
1.467710e-02,4.414269e+01,1.420175e+00
1.470972e-02,7.241529e+01,2.371761e+00
1.474234e-02,3.677082e+01,7.307107e-01
1.477495e-02,3.827829e+00,-2.127714e+00
1.480757e-02,7.828538e+01,2.180954e+00
1.484018e-02,8.475991e+01,-2.815562e+00
1.487280e-02,7.522997e+01,6.642903e-01
1.490541e-02,7.921357e+01,7.382179e-01
1.493803e-02,1.194992e+02,7.329371e-01
1.497065e-02,4.933448e+01,-1.311053e+00
1.500326e-02,8.674979e+01,7.372899e-01
1.503588e-02,7.099177e+01,-4.038251e-01
1.506849e-02,1.065974e+02,8.503828e-01
1.510111e-02,4.370033e+01,1.903097e+00
1.513372e-02,6.987393e+01,-2.390730e+00
1.516634e-02,2.496709e+01,-1.834930e+00
1.519896e-02,4.463145e+01,-2.321334e+00
1.523157e-02,7.516300e+01,-1.723839e+00
1.526419e-02,1.420531e+02,2.518321e+00
1.529680e-02,4.047936e+01,-7.774677e-01
1.532942e-02,9.511721e+01,3.070841e+00
1.536204e-02,7.623029e+01,1.422025e+00
1.539465e-02,5.013676e+01,-2.702401e+00
1.542727e-02,8.802631e+01,3.259133e-02
1.545988e-02,4.833512e+01,1.523870e+00
1.549250e-02,1.133633e+02,1.616546e+00
1.552511e-02,4.852670e+01,-2.424826e+00
1.555773e-02,1.317739e+02,-5.250172e-01
1.559035e-02,6.697313e+01,-2.790226e+00
1.562296e-02,3.279394e+01,-2.310412e-01
1.565558e-02,1.570715e+01,-2.658705e+00
1.568819e-02,1.228738e+02,-1.505600e+00
1.572081e-02,9.034306e+01,-8.616800e-01
1.575342e-02,6.126463e+01,1.109319e+00
1.578604e-02,7.034840e+01,1.561134e+00
1.581866e-02,8.663308e+01,-1.645113e+00
1.585127e-02,9.703893e+01,1.022170e+00
1.588389e-02,3.303318e+01,1.606540e+00
1.591650e-02,6.273364e+01,2.434288e+00
1.594912e-02,4.539685e+01,1.689932e-01
1.598174e-02,1.169833e+02,1.310446e+00
1.601435e-02,1.267131e+02,2.909587e+00
1.604697e-02,7.044213e+01,1.439490e+00
1.607958e-02,3.487149e+01,-1.225724e+00
1.611220e-02,6.625182e+00,2.367874e+00
1.614481e-02,1.495389e+02,-2.776812e+00
1.617743e-02,9.414940e+01,2.589916e+00
1.621005e-02,5.111833e+01,-5.153053e-01
1.624266e-02,5.749842e+01,2.397081e+00
1.627528e-02,2.861610e+01,2.441285e+00
1.630789e-02,7.553778e+01,6.745896e-01
1.634051e-02,1.193861e+02,9.818472e-01
1.637312e-02,8.966344e+01,-1.718312e+00
1.640574e-02,2.009712e+01,-8.846502e-01
1.643836e-02,1.761839e+02,2.052074e+00
1.647097e-02,6.286442e+01,2.076574e+00
1.650359e-02,8.617306e+01,3.492115e-01
1.653620e-02,6.134349e+01,1.640858e+00
1.656882e-02,2.641787e+01,-2.106271e+00
1.660144e-02,5.660221e+01,8.857344e-01
1.663405e-02,1.952096e+01,-9.022545e-01
1.666667e-02,4.508110e+00,-1.433248e+00
1.669928e-02,5.019807e+01,-3.096018e-01
1.673190e-02,1.035117e+02,4.205665e-01
1.676451e-02,2.813369e+01,2.048488e+00
1.679713e-02,6.321651e+01,-2.230009e+00
1.682975e-02,6.712586e+01,-2.142522e-01
1.686236e-02,6.205571e+01,1.239294e+00
1.689498e-02,1.158814e+02,1.950804e+00
1.692759e-02,4.347221e+01,-1.568756e-01
1.696021e-02,2.224286e+01,-1.206003e-02
1.699282e-02,5.888955e+01,1.186447e+00
1.702544e-02,8.386544e+01,-5.770993e-01
1.705806e-02,3.445098e+01,6.357877e-01
1.709067e-02,6.641169e+01,1.717158e+00
1.712329e-02,3.642188e+01,1.433687e+00
1.715590e-02,4.988303e+01,2.367210e+00
1.718852e-02,1.984038e+01,2.417731e+00
1.722114e-02,3.363635e+01,2.092582e+00
1.725375e-02,5.932562e+01,3.105098e+00
1.728637e-02,7.673911e+01,7.421788e-02
1.731898e-02,1.301323e+02,-1.167381e+00
1.735160e-02,4.024507e+01,2.648090e+00
1.738421e-02,8.289044e+01,2.639751e+00
1.741683e-02,2.187514e+01,1.402591e+00
1.744945e-02,3.891984e+01,-1.639494e+00
1.748206e-02,4.171641e+01,1.696783e+00
1.751468e-02,1.174166e+02,6.250004e-01
1.754729e-02,3.194849e+01,-8.819773e-01
1.757991e-02,1.474920e+02,-1.301893e+00
1.761252e-02,8.657830e+01,3.065255e+00
1.764514e-02,1.005204e+02,-1.066896e+00
1.767776e-02,1.217502e+02,1.093465e+00
1.771037e-02,8.512359e+01,2.899410e+00
1.774299e-02,2.539103e+01,-1.329967e+00
1.777560e-02,5.257340e+01,-2.743531e+00
1.780822e-02,6.733282e+01,1.782908e+00
1.784083e-02,1.284743e+02,1.240117e+00
1.787345e-02,1.010255e+02,2.887945e+00
1.790607e-02,1.026781e+02,4.220868e-01
1.793868e-02,6.092043e+01,7.833201e-01
1.797130e-02,1.388747e+01,2.942562e+00
1.800391e-02,1.198792e+02,2.626951e+00
1.803653e-02,3.799550e+01,2.218330e+00
1.806915e-02,4.282947e+01,-1.552802e+00
1.810176e-02,8.295303e+01,1.688754e+00
1.813438e-02,4.771865e+01,-1.917658e+00
1.816699e-02,5.363822e+01,-2.611947e+00
1.819961e-02,6.185469e+01,-3.312355e-01
1.823222e-02,5.427382e+01,5.814518e-01
1.826484e-02,7.373480e+01,9.223670e-01
1.829746e-02,1.541157e+01,-8.382675e-01
1.833007e-02,8.061692e+01,1.433564e+00
1.836269e-02,5.356301e+00,1.000910e+00
1.839530e-02,8.696768e+01,-1.942040e+00
1.842792e-02,3.115860e+01,-2.059959e+00
1.846053e-02,5.388133e+01,1.425769e-01
1.849315e-02,5.931893e+01,-3.061691e-01
1.852577e-02,7.359047e+01,6.301094e-01
1.855838e-02,9.528213e+01,-2.479659e+00
1.859100e-02,5.778625e+01,-3.494898e-01
1.862361e-02,7.856234e+01,1.570396e+00
1.865623e-02,3.802462e+01,-2.739104e+00
1.868885e-02,7.246249e+01,-1.284478e+00
1.872146e-02,1.233316e+02,8.637808e-01
